area,baths,beds,bathrooms,dining room,distance from airport (kms),drawing room,electricity backup,flooring,floors,kids play area,kitchens,lounge or sitting room,study room,waste disposal,price per sq yard,price,Flat,House,Lower Portion,Penthouse,Room,Upper Portion,Bahria Town Karachi,Cantt,Clifton,DHA Defence,Federal B Area,Gadap Town,Gulistan-e-Jauhar,Gulshan-e-Iqbal Town,Jamshed Town,Malir,North Nazimabad,Others,Scheme 33
133,2,2,2,1,0,1,1,1,0,0,1,1,1,1,82706,11000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
267,4,3,4,1,0,1,0,1,0,1,1,1,1,0,183520,49000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
350,4,4,1,1,1,1,1,1,1,1,1,1,1,1,71428,25000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,3,3,3,0,0,0,0,0,0,0,1,0,0,0,105000,21000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
286,3,3,3,1,1,1,1,1,0,1,1,1,1,1,115384,33000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
286,3,3,3,1,1,1,1,1,0,1,1,1,1,1,108391,31000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,2,2,2,0,1,0,0,1,0,0,1,1,0,1,116071,6500000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
244,3,3,3,0,1,1,1,1,0,0,1,1,0,1,127049,31000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,2,2,2,0,1,1,0,1,0,0,1,1,0,1,122641,13000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,4,4,4,1,1,1,0,1,0,0,1,1,1,1,100000,20000000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
167,3,3,0,0,1,0,0,0,0,0,0,0,0,0,89820,15000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
244,4,3,4,1,0,1,1,1,0,1,1,0,1,0,174180,42500000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
285,3,3,3,1,1,1,1,1,0,1,1,1,1,1,117543,33500000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
289,3,3,3,1,1,1,1,1,0,1,1,1,1,1,117647,34000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
350,4,4,4,1,0,1,0,0,0,0,1,0,0,0,51428,18000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,4,4,4,1,0,1,0,0,0,0,1,0,0,0,51428,18000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,2,2,2,0,1,0,1,1,0,0,1,1,1,0,48192,4000000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
240,7,6,7,1,1,1,1,1,0,1,2,1,0,0,156250,37500000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117,3,3,3,1,0,1,1,1,0,0,1,1,0,0,61538,7200000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
400,5,4,5,1,1,1,1,1,0,1,2,1,0,0,82500,33000000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
400,4,4,5,1,1,1,1,1,0,1,1,1,1,0,53750,21500000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
289,3,3,3,1,1,1,1,1,0,1,1,1,1,1,98615,28500000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
289,3,3,3,1,1,1,1,1,0,1,1,1,1,1,107266,31000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,3,3,3,0,1,1,1,1,0,0,1,1,0,1,121134,23500000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,4,3,0,0,0,0,1,1,0,0,0,0,0,0,132000,16500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
240,6,6,6,1,0,1,1,1,0,0,2,0,0,0,145833,35000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,3,3,3,1,0,1,1,0,0,1,1,1,1,0,162500,32500000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,2,2,2,1,1,1,1,1,0,0,1,1,0,1,70000,7000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
286,3,3,3,1,1,1,1,1,0,1,1,1,1,1,104895,30000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
286,3,3,3,1,1,1,1,1,0,1,1,1,1,1,108391,31000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
350,4,4,4,1,0,1,0,0,0,0,1,0,0,0,51428,18000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
286,3,3,3,1,1,1,1,1,0,1,1,1,1,1,120629,34500000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
350,5,4,0,1,0,1,0,0,0,1,1,1,1,1,71428,25000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,3,3,3,1,0,1,1,1,0,0,1,1,0,0,76576,8500000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,3,2,3,1,0,1,1,1,0,0,1,1,0,0,62500,8000000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
200,8,6,8,1,0,1,1,1,0,0,2,1,0,0,162500,32500000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,4,4,4,1,1,1,1,1,0,1,1,1,0,0,73891,15000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,4,3,3,0,0,0,0,0,0,0,1,0,0,0,107500,21500000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
246,3,2,2,1,0,1,1,1,0,0,1,1,0,1,174796,43000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
122,3,3,3,1,0,1,0,0,0,1,1,1,1,0,77868,9500000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
320,4,4,4,1,0,1,0,0,0,0,1,0,0,0,143750,46000000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
272,4,4,1,1,1,1,1,1,0,1,1,0,0,0,143382,39000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
